discoverymethod,description,periastrontime,discoveryyear,eccentricity,semimajoraxis,period,name,mass,periastron,list,lastupdate
RV,This planet was discovered by Dalal et al. 2021. This was a ground based discovery. The parameters listed here have been imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2021,0.120000,0.830000,307.88000000,BD+45 564 b,1.36000,70.3100,Confirmed planets,21/06/13
RV,This planet was found by the Penn State-Torun Planet Search Team (PTPS) using the Hobby-Eberly Telescope.,2454457.7,2011,0.2,1.0,392.6,BD+48 738 b,0.91,358.9,Confirmed planets,15/11/17
RV,This planet was discovered by Adamów et al. 2018. This was a ground based discovery. The parameters listed here are those reported by Adamów et al. 2018 and were imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2018,0.760000,1.700000,733.00000000,BD+48 740 b,1.70000,100.0000,Confirmed planets,18/02/01
RV,,2455470,2015,0.35,4.2,2590,BD+49 828 b,1.6,170,Confirmed planets,15/11/23
RV,This planet was discovered by Dalal et al. 2021. This was a ground based discovery. The parameters listed here have been imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2021,0.270000,0.780000,265.59000000,BD+55 362 b,0.72000,-134.4400,Confirmed planets,21/06/13
imaging,The parameters listed here were imported into the Open Exoplanet Catalogue from the exoplanet.eu website.,,2021,,1662.0,,BD+60 1417 b,15.0,,Confirmed planets,21/12/10
RV,This planet was discovered by Dalal et al. 2021. This was a ground based discovery. The parameters listed here have been imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2021,0.880000,2.060000,1198.48000000,BD+63 1405 b,3.96000,94.2500,Confirmed planets,21/06/13
RV,"The planet beta Cancri b is orbiting the brighest star in the constellation Cancer once every 600 days. It was found using data from 10, collected with the Bohyunsan Observatory.",2453229.8,2014,0.08,1.7,605.2,beta Cancri b,7.8,58.9,Confirmed planets,15/11/26
imaging,"Beta Pictoris is an A type star, 63 lightyears away from our own Solar System. The star is host to a debris disk and a planet. Using high spectroscopic observations, astronomers were able to measure the length of a day on bet Pic b: 8.1 hours. The planet or material in orbit around it may have been responsible for a transit-like event observed in November 1981.",,2008,0.080000,9.100000,7665.00000000,beta Pic b,,-8.0000,Confirmed planets,15/08/22
RV,This planet was discovered by Lagrange et al. 2019. This was a ground based discovery. The parameters listed here are those reported by Lagrange et al. 2019 and were imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2019,0.240000,2.700000,1200.00000000,beta Pic c,9.00000,,Confirmed planets,19/08/29
